RegionID,RegionName,City,State,Metro,CountyName,SizeRank,2019-04
269592,Logan Square,Chicago,IL,Chicago-Naperville-Elgin,Cook County,53,1729
403117,Little Village,Chicago,IL,Chicago-Naperville-Elgin,Cook County,87,1423
403169,West Rogers Park,Chicago,IL,Chicago-Naperville-Elgin,Cook County,104,1571
403120,South Austin,Chicago,IL,Chicago-Naperville-Elgin,Cook County,141,1505
269566,Albany Park,Chicago,IL,Chicago-Naperville-Elgin,Cook County,150,1615
269609,Uptown,Chicago,IL,Chicago-Naperville-Elgin,Cook County,155,1683
269589,Lake View,Chicago,IL,Chicago-Naperville-Elgin,Cook County,159,1928
269605,Rogers Park,Chicago,IL,Chicago-Naperville-Elgin,Cook County,165,1482
269571,Gresham,Chicago,IL,Chicago-Naperville-Elgin,Cook County,197,1415
273040,Brighton Park,Chicago,IL,Chicago-Naperville-Elgin,Cook County,198,1508
138261,Englewood,Chicago,IL,Chicago-Naperville-Elgin,Cook County,212,1331
269588,Jefferson Park,Chicago,IL,Chicago-Naperville-Elgin,Cook County,215,1949
275083,Portage Park,Chicago,IL,Chicago-Naperville-Elgin,Cook County,222,1928
269607,South Loop,Chicago,IL,Chicago-Naperville-Elgin,Cook County,247,1867
269585,Humboldt Park,Chicago,IL,Chicago-Naperville-Elgin,Cook County,249,1645
269582,Gage Park,Chicago,IL,Chicago-Naperville-Elgin,Cook County,251,1448
273035,Bridgeport,Chicago,IL,Chicago-Naperville-Elgin,Cook County,253,1819
269578,Edgewater,Chicago,IL,Chicago-Naperville-Elgin,Cook County,256,1714
403295,Lake View East,Chicago,IL,Chicago-Naperville-Elgin,Cook County,262,1684
269608,South Shore,Chicago,IL,Chicago-Naperville-Elgin,Cook County,270,1269
28173,Cragin,Chicago,IL,Chicago-Naperville-Elgin,Cook County,285,1774
403146,Back of the Yards,Chicago,IL,Chicago-Naperville-Elgin,Cook County,302,1392
269614,West Lawn,Chicago,IL,Chicago-Naperville-Elgin,Cook County,304,1606
403145,Bronzeville,Chicago,IL,Chicago-Naperville-Elgin,Cook County,366,1545
403109,Belmont Central,Chicago,IL,Chicago-Naperville-Elgin,Cook County,371,1809
403148,Marquette Park,Chicago,IL,Chicago-Naperville-Elgin,Cook County,379,1443
269584,Garfield Ridge,Chicago,IL,Chicago-Naperville-Elgin,Cook County,401,1724
269597,Near North,Chicago,IL,Chicago-Naperville-Elgin,Cook County,405,1891
140913,West Pullman,Chicago,IL,Chicago-Naperville-Elgin,Cook County,420,1391
140437,South Chicago,Chicago,IL,Chicago-Naperville-Elgin,Cook County,450,1373
269615,West Town,Chicago,IL,Chicago-Naperville-Elgin,Cook County,471,2061
269612,West Englewood,Chicago,IL,Chicago-Naperville-Elgin,Cook County,512,1351
403323,North Austin,Chicago,IL,Chicago-Naperville-Elgin,Cook County,537,1580
269577,East Garfield Park,Chicago,IL,Chicago-Naperville-Elgin,Cook County,551,1509
33597,Ravenswood,Chicago,IL,Chicago-Naperville-Elgin,Cook County,554,1709
138166,East Side,Chicago,IL,Chicago-Naperville-Elgin,Cook County,583,1409
273964,Hermosa,Chicago,IL,Chicago-Naperville-Elgin,Cook County,588,1667
269600,North Center,Chicago,IL,Chicago-Naperville-Elgin,Cook County,594,2068
275251,Roseland,Chicago,IL,Chicago-Naperville-Elgin,Cook County,600,1374
403299,Streeterville,Chicago,IL,Chicago-Naperville-Elgin,Cook County,602,2026
269611,West Elsdon,Chicago,IL,Chicago-Naperville-Elgin,Cook County,606,1582
137603,Bucktown,Chicago,IL,Chicago-Naperville-Elgin,Cook County,625,2105
269586,Hyde Park,Chicago,IL,Chicago-Naperville-Elgin,Cook County,627,1575
269576,Chicago Lawn,Chicago,IL,Chicago-Naperville-Elgin,Cook County,633,1451
273222,Chatham,Chicago,IL,Chicago-Naperville-Elgin,Cook County,643,1446
137841,Clearing,Chicago,IL,Chicago-Naperville-Elgin,Cook County,664,1688
269573,Avondale,Chicago,IL,Chicago-Naperville-Elgin,Cook County,696,1910
403330,Heart of Chicago,Chicago,IL,Chicago-Naperville-Elgin,Cook County,702,1664
403141,University Village - Little Italy,Chicago,IL,Chicago-Naperville-Elgin,Cook County,703,1885
269595,Morgan Park,Chicago,IL,Chicago-Naperville-Elgin,Cook County,706,1481
269596,Mount Greenwood,Chicago,IL,Chicago-Naperville-Elgin,Cook County,719,1769
269568,Archer Heights,Chicago,IL,Chicago-Naperville-Elgin,Cook County,773,1508
269603,O'Hare,Chicago,IL,Chicago-Naperville-Elgin,Cook County,791,1460
269599,Near West Side,Chicago,IL,Chicago-Naperville-Elgin,Cook County,797,1921
403325,Galewood,Chicago,IL,Chicago-Naperville-Elgin,Cook County,811,1857
403356,Park Manor,Chicago,IL,Chicago-Naperville-Elgin,Cook County,825,1351
274579,Montclare,Chicago,IL,Chicago-Naperville-Elgin,Cook County,835,1799
403303,Gold Coast,Chicago,IL,Chicago-Naperville-Elgin,Cook County,860,1979
269587,Irving Park,Chicago,IL,Chicago-Naperville-Elgin,Cook County,862,1901
403367,Scottsdale,Chicago,IL,Chicago-Naperville-Elgin,Cook County,870,1601
403318,West Humboldt Park,Chicago,IL,Chicago-Naperville-Elgin,Cook County,879,1504
269590,Lincoln Park,Chicago,IL,Chicago-Naperville-Elgin,Cook County,906,2219
269613,West Garfield Park,Chicago,IL,Chicago-Naperville-Elgin,Cook County,910,1413
269570,Ashburn,Chicago,IL,Chicago-Naperville-Elgin,Cook County,922,1526
139408,McKinley Park,Chicago,IL,Chicago-Naperville-Elgin,Cook County,928,1653
276138,Woodlawn,Chicago,IL,Chicago-Naperville-Elgin,Cook County,936,1405
272951,Beverly,Chicago,IL,Chicago-Naperville-Elgin,Cook County,942,2023
403378,Brainerd,Chicago,IL,Chicago-Naperville-Elgin,Cook County,956,1450
403283,Belmont Heights,Chicago,IL,Chicago-Naperville-Elgin,Cook County,1039,1853
403317,Belmont Gardens,Chicago,IL,Chicago-Naperville-Elgin,Cook County,1060,1730
7930,Wicker Park,Chicago,IL,Chicago-Naperville-Elgin,Cook County,1112,2245
403288,Old Irving Park,Chicago,IL,Chicago-Naperville-Elgin,Cook County,1116,1792
269593,The Loop,Chicago,IL,Chicago-Naperville-Elgin,Cook County,1118,1908
273111,Calumet Heights,Chicago,IL,Chicago-Naperville-Elgin,Cook County,1187,1467
403308,Park West,Chicago,IL,Chicago-Naperville-Elgin,Cook County,1222,1702
276349,Grand Crossing,Chicago,IL,Chicago-Naperville-Elgin,Cook County,1236,1322
403301,Old Town,Chicago,IL,Chicago-Naperville-Elgin,Cook County,1240,1845
269602,Norwood Park East,Chicago,IL,Chicago-Naperville-Elgin,Cook County,1241,1994
275927,Washington Park,Chicago,IL,Chicago-Naperville-Elgin,Cook County,1270,1382
269579,Edison Park,Chicago,IL,Chicago-Naperville-Elgin,Cook County,1271,2095
33420,Pilsen,Chicago,IL,Chicago-Naperville-Elgin,Cook County,1286,1812
403292,Roscoe Village,Chicago,IL,Chicago-Naperville-Elgin,Cook County,1293,2024
