zip,MedGrossRent,avgSAT
60453,1002,780
12311,1816,1278
6761,1852,1114
60608,834,871.444
60609,789,863.4
60610,1398,1099.33
60612,926,868
60613,1236,937
60614,1426,1085
60615,1021,900.33
60616,945,815.889
60617,785,865.5
60618,1078,954
60619,840,832.667
60620,856,843.883
60621,804,821.2
60622,1264,861.4
60623,799,851.4
60624,877,862
60625,1037,1058.25
60626,918,831
60628,936,868
60629,883,868
60630,1005,null
60631,1119,893.5
60632,828,910.4
60633,904,null
60634,983,891.5
60636,867,926.25
60637,899,863.5
60638,934,962
60639,925,952.6
60640,920,844
60641,934,867.75
60642,1412,957.75
60643,944,824.4
60644,861,785.25
60645,995,839
60646,888,null
60647,1092,886
60649,826,834.5
60651,921,820.5
60652,1026,846.667
60653,726,898.8
60654,1930,null
60655,1036,1031
60656,1019,null
60657,1370,null
60659,1063,925
60660,917,939.5
60827,726,939
